DATE & TIME,date_x,time_x,wave_direction (°),wave_height (m),sea_surface_temperature (°C),ocean_current_velocity (km/h),date_y,time_y,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),cloud_cover (%),wind_speed_100m (km/h),wind_direction_100m (°),Cyclone
2022-01-01T19:00,01-01-2022,19:00,148,0.44,23.8,3.2,01-01-2022,19:00,23.7,79.0,1014.0,0.0,24.0,98,0
2022-01-01T20:00,01-01-2022,20:00,154,0.42,24.8,2.2,01-01-2022,20:00,23.4,79.0,1014.4,29.0,23.3,98,0
2022-01-01T21:00,01-01-2022,21:00,159,0.4,29.7,0.6,01-01-2022,21:00,23.0,84.0,1014.6,4.0,20.9,101,0
2022-01-01T22:00,01-01-2022,22:00,165,0.4,23.7,1.2,01-01-2022,22:00,23.2,86.0,1015.7,3.0,17.2,100,0
2022-01-01T23:00,01-01-2022,23:00,170,0.38,26.3,1.9,01-01-2022,23:00,23.2,84.0,1016.2,15.0,12.8,68,0
2022-01-02T00:00,02-01-2022,00:00,173,0.36,27.3,2.5,02-01-2022,00:00,23.2,79.0,1016.5,12.0,14.9,37,0
2022-01-02T01:00,02-01-2022,01:00,177,0.36,27.3,2.5,02-01-2022,01:00,23.5,75.0,1016.5,12.0,14.5,44,0
2022-01-02T02:00,02-01-2022,02:00,180,0.34,24.2,1.9,02-01-2022,02:00,23.5,75.0,1016.2,28.0,11.0,52,0
2022-01-02T03:00,02-01-2022,03:00,182,0.34,23.3,0.8,02-01-2022,03:00,22.7,79.0,1015.9,77.0,13.0,24,0
2022-01-02T04:00,02-01-2022,04:00,185,0.34,27.4,1.4,02-01-2022,04:00,22.4,77.0,1015.6,94.0,16.9,349,0
2022-01-02T05:00,02-01-2022,05:00,187,0.34,25.8,2.5,02-01-2022,05:00,22.5,75.0,1015.0,16.0,17.3,359,0
2022-01-02T06:00,02-01-2022,06:00,188,0.34,27.9,3.2,02-01-2022,06:00,22.2,75.0,1014.6,4.0,19.2,30,0
2022-01-02T07:00,02-01-2022,07:00,190,0.36,26.0,3.4,02-01-2022,07:00,22.1,75.0,1014.7,3.0,21.5,38,0
2022-01-02T08:00,02-01-2022,08:00,191,0.36,25.5,2.7,02-01-2022,08:00,22.0,78.0,1014.9,4.0,22.7,44,0
2022-01-02T09:00,02-01-2022,09:00,189,0.36,24.9,1.6,02-01-2022,09:00,22.0,77.0,1015.1,13.0,25.2,48,0
2022-01-02T10:00,02-01-2022,10:00,186,0.36,26.9,0.4,02-01-2022,10:00,21.9,77.0,1015.5,23.0,26.6,54,0
2022-01-02T11:00,02-01-2022,11:00,184,0.36,23.3,0.7,02-01-2022,11:00,22.1,76.0,1016.3,20.0,27.6,54,0
2022-01-02T12:00,02-01-2022,12:00,174,0.38,30.5,1.3,02-01-2022,12:00,23.1,71.0,1016.9,1.0,26.5,56,0
2022-01-02T13:00,02-01-2022,13:00,163,0.38,31.0,1.3,02-01-2022,13:00,24.4,67.0,1016.9,3.0,24.0,64,0
2022-01-02T14:00,02-01-2022,14:00,153,0.4,30.6,1.0,02-01-2022,14:00,25.0,66.0,1016.0,0.0,23.8,72,0
2022-01-02T15:00,02-01-2022,15:00,152,0.4,25.2,0.4,02-01-2022,15:00,25.1,69.0,1015.0,0.0,24.3,82,0
2022-01-02T16:00,02-01-2022,16:00,152,0.38,26.3,1.7,02-01-2022,16:00,24.6,76.0,1013.9,0.0,26.3,91,0
2022-01-02T17:00,02-01-2022,17:00,151,0.38,22.2,2.7,02-01-2022,17:00,24.2,81.0,1013.0,0.0,28.5,94,0
2022-01-02T18:00,02-01-2022,18:00,154,0.36,25.9,3.4,02-01-2022,18:00,23.9,84.0,1012.5,1.0,29.3,95,0
2022-01-02T19:00,02-01-2022,19:00,156,0.36,27.6,3.4,02-01-2022,19:00,24.0,86.0,1012.3,1.0,27.9,97,0
2022-01-02T20:00,02-01-2022,20:00,159,0.34,27.8,2.7,02-01-2022,20:00,23.9,86.0,1012.8,3.0,22.9,98,0
2022-01-02T21:00,02-01-2022,21:00,162,0.32,24.1,1.3,02-01-2022,21:00,23.8,84.0,1013.0,0.0,19.6,107,0
2022-01-02T22:00,02-01-2022,22:00,166,0.32,22.2,0.6,02-01-2022,22:00,23.7,81.0,1014.0,0.0,14.1,87,0
2022-01-02T23:00,02-01-2022,23:00,169,0.3,28.3,1.9,02-01-2022,23:00,23.5,82.0,1014.4,1.0,10.4,44,0
2022-01-03T00:00,03-01-2022,00:00,172,0.28,29.9,3.0,03-01-2022,00:00,23.2,81.0,1015.1,7.0,8.9,14,0
2022-01-03T01:00,03-01-2022,01:00,174,0.28,23.2,3.4,03-01-2022,01:00,23.3,75.0,1015.2,8.0,10.5,22,0
2022-01-03T02:00,03-01-2022,02:00,177,0.26,26.9,3.2,03-01-2022,02:00,23.1,72.0,1015.0,5.0,13.4,20,0
2022-01-03T03:00,03-01-2022,03:00,178,0.26,29.1,2.3,03-01-2022,03:00,22.9,72.0,1014.9,8.0,15.5,347,0
2022-01-03T04:00,03-01-2022,04:00,180,0.26,29.4,0.8,03-01-2022,04:00,22.6,74.0,1014.6,5.0,17.7,336,0
2022-01-03T05:00,03-01-2022,05:00,181,0.26,30.5,1.1,03-01-2022,05:00,22.1,77.0,1014.2,4.0,19.4,10,0
2022-01-03T06:00,03-01-2022,06:00,181,0.26,27.6,2.3,03-01-2022,06:00,22.2,73.0,1013.7,0.0,21.5,31,0
2022-01-03T07:00,03-01-2022,07:00,181,0.26,22.8,3.1,03-01-2022,07:00,22.1,72.0,1013.3,0.0,24.1,39,0
2022-01-03T08:00,03-01-2022,08:00,181,0.26,29.1,3.1,03-01-2022,08:00,22.0,74.0,1013.1,0.0,24.6,39,0
2022-01-03T09:00,03-01-2022,09:00,178,0.26,29.7,2.2,03-01-2022,09:00,22.0,74.0,1013.6,0.0,27.1,41,0
2022-01-03T10:00,03-01-2022,10:00,174,0.28,29.4,1.0,03-01-2022,10:00,21.9,75.0,1014.2,0.0,27.8,43,0
2022-01-03T11:00,03-01-2022,11:00,171,0.28,27.7,0.6,03-01-2022,11:00,22.1,73.0,1015.1,0.0,29.8,44,0
2022-01-03T12:00,03-01-2022,12:00,165,0.3,24.8,1.4,03-01-2022,12:00,23.2,69.0,1015.8,0.0,27.5,47,0
2022-01-03T13:00,03-01-2022,13:00,160,0.32,28.8,2.0,03-01-2022,13:00,24.5,65.0,1016.3,0.0,22.3,56,0
2022-01-03T14:00,03-01-2022,14:00,154,0.34,26.9,2.0,03-01-2022,14:00,25.2,65.0,1015.5,0.0,20.3,70,0
2022-01-03T15:00,03-01-2022,15:00,157,0.34,28.2,1.3,03-01-2022,15:00,25.4,67.0,1014.6,53.0,19.7,82,0
2022-01-03T16:00,03-01-2022,16:00,161,0.36,24.3,0.2,03-01-2022,16:00,24.9,72.0,1013.3,30.0,19.8,93,0
2022-01-03T17:00,03-01-2022,17:00,164,0.36,30.2,1.5,03-01-2022,17:00,24.3,79.0,1012.5,41.0,20.1,100,0
2022-01-03T18:00,03-01-2022,18:00,164,0.36,26.9,2.5,03-01-2022,18:00,24.1,80.0,1011.6,88.0,21.4,107,0
2022-01-03T19:00,03-01-2022,19:00,164,0.34,29.8,3.2,03-01-2022,19:00,24.0,83.0,1011.4,94.0,21.2,111,0
2022-01-03T20:00,03-01-2022,20:00,164,0.34,29.4,3.1,03-01-2022,20:00,23.7,89.0,1012.1,87.0,23.1,124,0
2022-01-03T21:00,03-01-2022,21:00,166,0.32,30.2,2.2,03-01-2022,21:00,23.6,87.0,1012.8,0.0,18.1,134,0
2022-01-03T22:00,03-01-2022,22:00,169,0.32,27.3,0.7,03-01-2022,22:00,23.6,88.0,1013.9,29.0,2.5,278,0
2022-01-03T23:00,03-01-2022,23:00,171,0.3,28.0,1.1,03-01-2022,23:00,23.6,86.0,1014.6,0.0,6.5,304,0
2022-01-04T00:00,04-01-2022,00:00,175,0.28,31.0,2.6,04-01-2022,00:00,23.3,88.0,1015.0,0.0,7.7,307,0
2022-01-04T01:00,04-01-2022,01:00,178,0.28,27.0,3.3,04-01-2022,01:00,23.0,88.0,1015.1,0.0,8.2,311,0
2022-01-04T02:00,04-01-2022,02:00,182,0.26,22.3,3.7,04-01-2022,02:00,22.9,86.0,1015.0,0.0,12.8,310,0
2022-01-04T03:00,04-01-2022,03:00,184,0.26,22.8,3.1,04-01-2022,03:00,22.6,86.0,1014.7,0.0,12.7,313,0
2022-01-04T04:00,04-01-2022,04:00,186,0.26,22.9,2.1,04-01-2022,04:00,22.4,85.0,1014.4,0.0,9.7,309,0
2022-01-04T05:00,04-01-2022,05:00,188,0.26,28.1,0.5,04-01-2022,05:00,22.1,88.0,1013.9,0.0,6.0,335,0
2022-01-04T06:00,04-01-2022,06:00,189,0.26,30.9,1.5,04-01-2022,06:00,21.7,92.0,1013.1,0.0,5.1,352,0
2022-01-04T07:00,04-01-2022,07:00,189,0.26,24.8,2.7,04-01-2022,07:00,21.3,93.0,1012.9,0.0,4.2,20,0
2022-01-04T08:00,04-01-2022,08:00,190,0.26,24.6,3.2,04-01-2022,08:00,21.3,89.0,1013.3,0.0,5.4,53,0
2022-01-04T09:00,04-01-2022,09:00,190,0.26,23.2,3.1,04-01-2022,09:00,21.4,84.0,1013.8,0.0,9.0,53,0
2022-01-04T10:00,04-01-2022,10:00,191,0.26,28.1,2.2,04-01-2022,10:00,21.8,81.0,1014.2,0.0,14.3,80,0
2022-01-04T11:00,04-01-2022,11:00,191,0.26,28.7,0.7,04-01-2022,11:00,22.3,80.0,1015.0,0.0,16.0,76,0
2022-01-04T12:00,04-01-2022,12:00,192,0.26,28.1,0.5,04-01-2022,12:00,23.0,73.0,1015.9,0.0,17.6,64,0
2022-01-04T13:00,04-01-2022,13:00,192,0.26,22.1,1.5,04-01-2022,13:00,24.4,68.0,1016.0,0.0,16.3,72,0
2022-01-04T14:00,04-01-2022,14:00,193,0.26,26.5,1.8,04-01-2022,14:00,24.9,70.0,1015.3,0.0,17.4,84,0
2022-01-04T15:00,04-01-2022,15:00,193,0.26,26.7,1.7,04-01-2022,15:00,24.9,72.0,1014.0,0.0,19.8,93,0
2022-01-04T16:00,04-01-2022,16:00,193,0.26,30.1,1.0,04-01-2022,16:00,24.6,77.0,1012.7,0.0,20.8,99,0
2022-01-04T17:00,04-01-2022,17:00,193,0.26,28.1,0.6,04-01-2022,17:00,24.6,77.0,1011.7,0.0,22.0,101,0
2022-01-04T18:00,04-01-2022,18:00,193,0.26,28.8,2.0,04-01-2022,18:00,24.5,77.0,1011.4,0.0,22.2,103,0
2022-01-04T19:00,04-01-2022,19:00,193,0.26,22.0,3.1,04-01-2022,19:00,24.4,79.0,1011.2,0.0,21.4,110,0
2022-01-04T20:00,04-01-2022,20:00,193,0.26,22.7,3.6,04-01-2022,20:00,24.0,83.0,1011.9,0.0,18.9,108,0
2022-01-04T21:00,04-01-2022,21:00,193,0.26,25.6,3.2,04-01-2022,21:00,23.7,86.0,1012.5,0.0,16.6,120,0
2022-01-04T22:00,04-01-2022,22:00,192,0.26,30.1,2.2,04-01-2022,22:00,24.0,87.0,1013.2,0.0,17.9,146,0
2022-01-04T23:00,04-01-2022,23:00,192,0.26,26.9,0.6,04-01-2022,23:00,24.3,83.0,1013.6,0.0,12.4,154,0
2022-01-05T00:00,05-01-2022,00:00,192,0.26,22.4,1.1,05-01-2022,00:00,23.6,85.0,1014.5,46.0,4.7,360,0
2022-01-05T01:00,05-01-2022,01:00,192,0.26,28.5,2.4,05-01-2022,01:00,23.0,87.0,1014.3,0.0,6.7,324,0
2022-01-05T02:00,05-01-2022,02:00,192,0.26,29.4,3.1,05-01-2022,02:00,22.8,86.0,1014.0,0.0,10.6,305,0
2022-01-05T03:00,05-01-2022,03:00,192,0.26,29.0,3.3,05-01-2022,03:00,22.8,83.0,1013.6,0.0,13.0,294,0
2022-01-05T04:00,05-01-2022,04:00,192,0.26,27.6,2.8,05-01-2022,04:00,22.5,82.0,1013.2,0.0,16.6,312,0
2022-01-05T05:00,05-01-2022,05:00,192,0.26,23.1,1.5,05-01-2022,05:00,22.2,83.0,1012.5,0.0,18.3,306,0
2022-01-05T06:00,05-01-2022,06:00,192,0.26,26.1,0.3,05-01-2022,06:00,22.0,88.0,1012.1,0.0,22.0,308,0
2022-01-05T07:00,05-01-2022,07:00,191,0.26,22.3,1.8,05-01-2022,07:00,21.8,90.0,1011.9,0.0,20.4,312,0
2022-01-05T08:00,05-01-2022,08:00,191,0.26,25.1,2.9,05-01-2022,08:00,21.8,90.0,1012.3,0.0,16.4,308,0
2022-01-05T09:00,05-01-2022,09:00,191,0.26,27.9,3.4,05-01-2022,09:00,22.1,87.0,1012.9,0.0,12.9,297,0
2022-01-05T10:00,05-01-2022,10:00,191,0.26,23.9,3.1,05-01-2022,10:00,22.2,87.0,1013.5,0.0,9.7,285,0
2022-01-05T11:00,05-01-2022,11:00,191,0.26,26.1,2.0,05-01-2022,11:00,22.5,86.0,1014.1,0.0,7.9,270,0
2022-01-05T12:00,05-01-2022,12:00,191,0.26,27.5,0.6,05-01-2022,12:00,23.5,79.0,1014.6,0.0,5.9,259,0
2022-01-05T13:00,05-01-2022,13:00,191,0.26,27.0,0.7,05-01-2022,13:00,24.1,79.0,1015.0,0.0,7.8,236,0
2022-01-05T14:00,05-01-2022,14:00,191,0.26,28.9,1.6,05-01-2022,14:00,24.2,83.0,1014.3,0.0,12.0,226,0
2022-01-05T15:00,05-01-2022,15:00,191,0.26,25.6,2.0,05-01-2022,15:00,24.4,83.0,1013.3,0.0,16.6,231,0
2022-01-05T16:00,05-01-2022,16:00,192,0.28,27.9,2.0,05-01-2022,16:00,24.4,81.0,1012.0,0.0,21.4,234,0
2022-01-05T17:00,05-01-2022,17:00,192,0.28,27.6,1.3,05-01-2022,17:00,24.5,78.0,1011.4,0.0,25.4,243,0
2022-01-05T18:00,05-01-2022,18:00,203,0.32,24.7,0.3,05-01-2022,18:00,24.6,80.0,1011.0,2.0,27.9,250,0
2022-01-05T19:00,05-01-2022,19:00,214,0.36,25.3,1.1,05-01-2022,19:00,24.7,79.0,1011.0,0.0,28.5,257,0
2022-01-05T20:00,05-01-2022,20:00,225,0.4,28.9,2.0,05-01-2022,20:00,24.3,81.0,1011.3,0.0,26.0,256,0
2022-01-05T21:00,05-01-2022,21:00,226,0.4,23.3,2.4,05-01-2022,21:00,24.2,81.0,1011.9,0.0,27.7,269,0
2022-01-05T22:00,05-01-2022,22:00,228,0.4,26.0,2.2,05-01-2022,22:00,24.0,82.0,1012.4,0.0,26.3,274,0
2022-01-05T23:00,05-01-2022,23:00,229,0.4,25.0,1.2,05-01-2022,23:00,24.0,82.0,1013.0,0.0,23.6,282,0
2022-01-06T00:00,06-01-2022,00:00,227,0.4,24.4,0.5,06-01-2022,00:00,23.6,82.0,1013.3,0.0,21.8,286,0
2022-01-06T01:00,06-01-2022,01:00,224,0.38,25.1,1.8,06-01-2022,01:00,23.0,86.0,1013.4,0.0,21.6,298,0
2022-01-06T02:00,06-01-2022,02:00,222,0.38,29.8,2.9,06-01-2022,02:00,22.3,86.0,1013.3,0.0,19.3,315,0
2022-01-06T03:00,06-01-2022,03:00,217,0.38,22.2,3.2,06-01-2022,03:00,22.0,87.0,1013.0,0.0,14.5,337,0
2022-01-06T04:00,06-01-2022,04:00,212,0.4,23.5,3.2,06-01-2022,04:00,21.9,87.0,1012.8,0.0,9.7,356,0
2022-01-06T05:00,06-01-2022,05:00,207,0.4,30.1,2.3,06-01-2022,05:00,21.8,87.0,1012.4,0.0,8.2,345,0
2022-01-06T06:00,06-01-2022,06:00,205,0.38,23.9,1.1,06-01-2022,06:00,21.4,90.0,1012.2,0.0,10.9,333,0
2022-01-06T07:00,06-01-2022,07:00,202,0.38,29.6,0.6,06-01-2022,07:00,21.0,91.0,1012.1,0.0,15.2,338,0
2022-01-06T08:00,06-01-2022,08:00,200,0.36,26.7,2.1,06-01-2022,08:00,21.0,87.0,1012.3,2.0,11.2,358,0
2022-01-06T09:00,06-01-2022,09:00,199,0.34,22.5,3.1,06-01-2022,09:00,20.7,89.0,1013.0,49.0,11.6,5,0
2022-01-06T10:00,06-01-2022,10:00,199,0.34,26.6,3.3,06-01-2022,10:00,20.8,88.0,1013.5,68.0,12.0,49,0
2022-01-06T11:00,06-01-2022,11:00,198,0.32,24.0,2.9,06-01-2022,11:00,21.3,87.0,1014.0,72.0,14.8,76,0
2022-01-06T12:00,06-01-2022,12:00,198,0.32,25.9,1.9,06-01-2022,12:00,21.9,84.0,1015.1,100.0,9.2,45,0
2022-01-06T13:00,06-01-2022,13:00,198,0.3,27.3,0.4,06-01-2022,13:00,21.1,86.0,1015.6,91.0,7.1,345,0
2022-01-06T14:00,06-01-2022,14:00,198,0.3,31.0,0.9,06-01-2022,14:00,21.5,84.0,1014.7,27.0,7.2,357,0
2022-01-06T15:00,06-01-2022,15:00,198,0.3,24.7,1.6,06-01-2022,15:00,22.8,75.0,1013.6,18.0,3.4,58,0
2022-01-06T16:00,06-01-2022,16:00,198,0.32,29.4,1.8,06-01-2022,16:00,23.1,75.0,1012.2,68.0,5.1,129,0
2022-01-06T17:00,06-01-2022,17:00,198,0.32,26.6,1.7,06-01-2022,17:00,22.8,80.0,1011.2,42.0,10.0,167,0
2022-01-06T18:00,06-01-2022,18:00,198,0.32,29.7,1.2,06-01-2022,18:00,22.4,85.0,1011.0,100.0,14.5,186,0
2022-01-06T19:00,06-01-2022,19:00,199,0.32,28.9,0.6,06-01-2022,19:00,22.1,84.0,1011.1,100.0,13.8,208,0
2022-01-06T20:00,06-01-2022,20:00,199,0.32,24.0,1.5,06-01-2022,20:00,23.9,69.0,1011.7,100.0,2.9,277,0
2022-01-06T21:00,06-01-2022,21:00,199,0.32,23.7,2.2,06-01-2022,21:00,23.8,70.0,1011.9,23.0,5.0,90,0
2022-01-06T22:00,06-01-2022,22:00,199,0.32,24.3,2.4,06-01-2022,22:00,23.3,78.0,1012.3,16.0,8.0,85,0
2022-01-06T23:00,06-01-2022,23:00,199,0.32,28.0,2.0,06-01-2022,23:00,23.0,80.0,1012.8,16.0,6.9,81,0
2022-01-07T00:00,07-01-2022,00:00,197,0.34,30.1,1.1,07-01-2022,00:00,22.6,83.0,1013.3,3.0,5.8,30,0
2022-01-07T01:00,07-01-2022,01:00,196,0.38,24.6,0.6,07-01-2022,01:00,22.4,82.0,1013.3,1.0,4.5,76,0
2022-01-07T02:00,07-01-2022,02:00,194,0.4,24.3,1.8,07-01-2022,02:00,22.4,84.0,1013.2,21.0,6.9,96,0
2022-01-07T03:00,07-01-2022,03:00,194,0.38,27.1,2.6,07-01-2022,03:00,21.6,88.0,1012.8,24.0,13.8,57,0
2022-01-07T04:00,07-01-2022,04:00,193,0.38,27.7,3.0,07-01-2022,04:00,21.0,85.0,1012.4,7.0,14.1,50,0
2022-01-07T05:00,07-01-2022,05:00,193,0.36,23.4,2.8,07-01-2022,05:00,20.8,82.0,1012.0,15.0,12.2,56,0
2022-01-07T06:00,07-01-2022,06:00,192,0.36,23.9,2.1,07-01-2022,06:00,20.6,81.0,1011.4,9.0,12.1,53,0
2022-01-07T07:00,07-01-2022,07:00,191,0.34,22.9,0.9,07-01-2022,07:00,20.6,79.0,1011.3,12.0,11.7,56,0
2022-01-07T08:00,07-01-2022,08:00,190,0.34,30.9,0.7,07-01-2022,08:00,20.8,78.0,1011.1,12.0,9.6,56,0
2022-01-07T09:00,07-01-2022,09:00,190,0.34,23.6,1.8,07-01-2022,09:00,20.8,78.0,1011.4,20.0,10.6,66,0
2022-01-07T10:00,07-01-2022,10:00,191,0.32,26.8,2.5,07-01-2022,10:00,20.8,77.0,1012.1,11.0,9.1,56,0
2022-01-07T11:00,07-01-2022,11:00,191,0.32,25.2,2.7,07-01-2022,11:00,20.8,76.0,1012.9,14.0,9.2,11,0
2022-01-07T12:00,07-01-2022,12:00,192,0.32,22.7,2.2,07-01-2022,12:00,21.7,68.0,1013.7,15.0,7.7,11,0
2022-01-07T13:00,07-01-2022,13:00,192,0.3,22.4,1.1,07-01-2022,13:00,22.7,64.0,1013.9,9.0,5.4,70,0
2022-01-07T14:00,07-01-2022,14:00,193,0.3,24.1,0.2,07-01-2022,14:00,23.1,65.0,1013.5,29.0,6.7,144,0
2022-01-07T15:00,07-01-2022,15:00,194,0.3,30.2,1.1,07-01-2022,15:00,22.7,72.0,1012.6,32.0,11.9,177,0
2022-01-07T16:00,07-01-2022,16:00,195,0.3,25.5,1.8,07-01-2022,16:00,22.5,77.0,1011.7,38.0,15.0,210,0
2022-01-07T17:00,07-01-2022,17:00,196,0.3,27.2,2.0,07-01-2022,17:00,23.0,79.0,1010.7,43.0,21.9,224,0
2022-01-07T18:00,07-01-2022,18:00,207,0.32,27.7,2.0,07-01-2022,18:00,22.7,82.0,1010.4,25.0,26.7,243,0
2022-01-07T19:00,07-01-2022,19:00,219,0.36,30.5,1.3,07-01-2022,19:00,23.5,77.0,1010.2,11.0,26.3,261,0
2022-01-07T20:00,07-01-2022,20:00,230,0.38,26.6,0.4,07-01-2022,20:00,24.2,73.0,1010.5,16.0,26.6,272,0
2022-01-07T21:00,07-01-2022,21:00,235,0.4,25.6,0.8,07-01-2022,21:00,23.7,75.0,1011.1,19.0,25.7,276,0
2022-01-07T22:00,07-01-2022,22:00,239,0.42,30.0,1.5,07-01-2022,22:00,23.3,77.0,1012.0,16.0,23.1,281,0
2022-01-07T23:00,07-01-2022,23:00,244,0.44,29.7,1.7,07-01-2022,23:00,23.0,79.0,1012.6,13.0,21.0,286,0
2022-01-08T00:00,08-01-2022,00:00,241,0.42,24.1,1.4,08-01-2022,00:00,22.6,80.0,1013.1,10.0,19.9,290,0
2022-01-08T01:00,08-01-2022,01:00,238,0.42,24.0,0.8,08-01-2022,01:00,22.3,81.0,1013.1,5.0,20.3,297,0
2022-01-08T02:00,08-01-2022,02:00,235,0.4,29.4,0.9,08-01-2022,02:00,21.9,80.0,1013.1,5.0,20.8,304,0
2022-01-08T03:00,08-01-2022,03:00,232,0.4,24.4,1.7,08-01-2022,03:00,21.5,81.0,1012.6,4.0,20.7,311,0
2022-01-08T04:00,08-01-2022,04:00,230,0.38,30.0,2.2,08-01-2022,04:00,21.0,83.0,1012.6,5.0,21.9,318,0
2022-01-08T05:00,08-01-2022,05:00,227,0.38,22.9,2.3,08-01-2022,05:00,20.5,82.0,1012.2,8.0,20.0,326,0
2022-01-08T06:00,08-01-2022,06:00,227,0.38,30.9,2.2,08-01-2022,06:00,20.0,83.0,1011.9,10.0,18.5,336,0
2022-01-08T07:00,08-01-2022,07:00,227,0.4,29.1,1.3,08-01-2022,07:00,19.6,83.0,1012.0,6.0,16.5,344,0
2022-01-08T08:00,08-01-2022,08:00,227,0.4,30.7,0.4,08-01-2022,08:00,19.6,81.0,1012.2,9.0,18.7,359,0
2022-01-08T09:00,08-01-2022,09:00,228,0.4,22.8,1.2,08-01-2022,09:00,19.1,84.0,1013.2,7.0,20.3,6,0
2022-01-08T10:00,08-01-2022,10:00,228,0.42,25.5,2.1,08-01-2022,10:00,18.8,85.0,1014.0,5.0,21.0,12,0
2022-01-08T11:00,08-01-2022,11:00,229,0.42,29.4,2.6,08-01-2022,11:00,18.8,81.0,1014.8,10.0,16.3,22,0
2022-01-08T12:00,08-01-2022,12:00,229,0.42,26.2,2.8,08-01-2022,12:00,19.7,74.0,1015.7,5.0,14.8,34,0
2022-01-08T13:00,08-01-2022,13:00,229,0.42,26.1,2.2,08-01-2022,13:00,21.2,65.0,1016.0,3.0,12.5,41,0
2022-01-08T14:00,08-01-2022,14:00,229,0.42,23.2,1.3,08-01-2022,14:00,22.8,52.0,1015.3,1.0,10.4,44,0
2022-01-08T15:00,08-01-2022,15:00,229,0.42,25.0,0.3,08-01-2022,15:00,23.9,40.0,1014.4,5.0,3.9,56,0
2022-01-08T16:00,08-01-2022,16:00,229,0.42,30.9,0.7,08-01-2022,16:00,23.6,49.0,1013.3,2.0,9.9,161,0
2022-01-08T17:00,08-01-2022,17:00,229,0.42,22.8,1.4,08-01-2022,17:00,22.6,62.0,1012.6,0.0,19.3,166,0
2022-01-08T18:00,08-01-2022,18:00,231,0.46,22.7,1.7,08-01-2022,18:00,21.9,60.0,1012.4,1.0,19.4,169,0
2022-01-08T19:00,08-01-2022,19:00,233,0.48,22.0,1.6,08-01-2022,19:00,22.5,56.0,1012.3,0.0,14.0,198,0
2022-01-08T20:00,08-01-2022,20:00,235,0.52,23.0,1.2,08-01-2022,20:00,22.8,59.0,1012.5,1.0,15.6,209,0
2022-01-08T21:00,08-01-2022,21:00,242,0.52,28.8,0.6,08-01-2022,21:00,23.7,56.0,1012.8,0.0,20.7,229,0
